C0-V (29697 genes)	C1-V (28578 genes)
Genes	Genes
TRINITY_DN10000_c0_g1_i12	TRINITY_DN0_c0_g1_i15
TRINITY_DN100011_c1_g1_i1	TRINITY_DN0_c1_g2_i1
TRINITY_DN100016_c0_g2_i1	TRINITY_DN10000_c0_g2_i1
TRINITY_DN100016_c0_g3_i1	TRINITY_DN100016_c0_g1_i2
TRINITY_DN10001_c0_g1_i7	TRINITY_DN100017_c0_g2_i1
TRINITY_DN10001_c1_g1_i2	TRINITY_DN10001_c3_g2_i3
TRINITY_DN10001_c2_g1_i1	TRINITY_DN100027_c0_g1_i1
TRINITY_DN100027_c0_g5_i1	TRINITY_DN10002_c0_g3_i1
TRINITY_DN10002_c0_g2_i1	TRINITY_DN10002_c0_g5_i3
TRINITY_DN10002_c0_g5_i2	TRINITY_DN10006_c0_g1_i3
TRINITY_DN10003_c0_g1_i1	TRINITY_DN10006_c0_g1_i4
TRINITY_DN10003_c0_g1_i3	TRINITY_DN10006_c0_g1_i6
TRINITY_DN10003_c0_g1_i5	TRINITY_DN10008_c1_g1_i4
TRINITY_DN10003_c0_g1_i6	TRINITY_DN1000_c0_g1_i12
TRINITY_DN10003_c0_g1_i8	TRINITY_DN1000_c0_g1_i3
TRINITY_DN10005_c4_g1_i2	TRINITY_DN1000_c3_g1_i6
TRINITY_DN10006_c0_g2_i1	TRINITY_DN1000_c3_g2_i1
TRINITY_DN10006_c0_g2_i2	TRINITY_DN10014_c0_g1_i1
TRINITY_DN10006_c0_g2_i7	TRINITY_DN100176_c0_g1_i1
TRINITY_DN100098_c0_g1_i2	TRINITY_DN1001_c1_g1_i11
TRINITY_DN10009_c0_g1_i3	TRINITY_DN1001_c1_g1_i3
TRINITY_DN1000_c0_g1_i6	TRINITY_DN1001_c1_g1_i5
TRINITY_DN10010_c2_g2_i4	TRINITY_DN10021_c0_g1_i4
TRINITY_DN100113_c0_g1_i1	TRINITY_DN10021_c0_g1_i5
TRINITY_DN10012_c1_g3_i1	TRINITY_DN10021_c0_g2_i1
TRINITY_DN10012_c1_g6_i1	TRINITY_DN10023_c0_g1_i4
TRINITY_DN100132_c0_g1_i1	TRINITY_DN100242_c0_g1_i1
TRINITY_DN100137_c0_g2_i1	TRINITY_DN10025_c0_g1_i1
TRINITY_DN10013_c0_g2_i1	TRINITY_DN10025_c0_g1_i9
TRINITY_DN100147_c0_g1_i4	TRINITY_DN10025_c0_g2_i2
TRINITY_DN10014_c0_g1_i2	TRINITY_DN10025_c1_g2_i3
TRINITY_DN10016_c2_g1_i2	TRINITY_DN10026_c0_g1_i2
TRINITY_DN10017_c0_g2_i2	TRINITY_DN10026_c0_g1_i3
TRINITY_DN10018_c0_g1_i2	TRINITY_DN10026_c1_g2_i1
TRINITY_DN10019_c0_g2_i1	TRINITY_DN100282_c0_g1_i1
TRINITY_DN1001_c1_g1_i10	TRINITY_DN10028_c0_g1_i1
TRINITY_DN1001_c1_g1_i14	TRINITY_DN1002_c0_g2_i2
TRINITY_DN1001_c1_g1_i15	TRINITY_DN1002_c0_g2_i4
TRINITY_DN1001_c2_g1_i5	TRINITY_DN1002_c0_g2_i6
TRINITY_DN1001_c2_g1_i7	TRINITY_DN1002_c0_g2_i9
TRINITY_DN1001_c2_g1_i8	TRINITY_DN100304_c0_g1_i1
TRINITY_DN1001_c2_g1_i9	TRINITY_DN10030_c0_g1_i1
TRINITY_DN100205_c0_g1_i1	TRINITY_DN10032_c0_g1_i5
TRINITY_DN10020_c1_g3_i1	TRINITY_DN10032_c1_g2_i4
TRINITY_DN10021_c0_g1_i2	TRINITY_DN100336_c0_g1_i1
TRINITY_DN10021_c0_g2_i3	TRINITY_DN10033_c2_g1_i2
TRINITY_DN100242_c0_g2_i1	TRINITY_DN10034_c0_g3_i1
TRINITY_DN10025_c0_g1_i13	TRINITY_DN10034_c0_g4_i1
TRINITY_DN10025_c0_g1_i2	TRINITY_DN10035_c0_g1_i12
TRINITY_DN10025_c0_g1_i8	TRINITY_DN10035_c0_g2_i1
TRINITY_DN10025_c0_g2_i1	TRINITY_DN100365_c0_g1_i5
TRINITY_DN10025_c1_g1_i1	TRINITY_DN100365_c0_g1_i6
TRINITY_DN10026_c0_g1_i1	TRINITY_DN10039_c0_g1_i1
TRINITY_DN10026_c0_g1_i4	TRINITY_DN1003_c1_g1_i2
TRINITY_DN10026_c0_g1_i9	TRINITY_DN10040_c0_g2_i9
TRINITY_DN10026_c1_g1_i1	TRINITY_DN100414_c0_g3_i5
TRINITY_DN1002_c0_g2_i1	TRINITY_DN10041_c0_g2_i1
TRINITY_DN1002_c0_g2_i3	TRINITY_DN10044_c0_g2_i2
TRINITY_DN1002_c0_g2_i8	TRINITY_DN10044_c0_g2_i4
TRINITY_DN1002_c1_g1_i1	TRINITY_DN10044_c0_g2_i5
TRINITY_DN10030_c0_g2_i6	TRINITY_DN10044_c0_g2_i7
TRINITY_DN10030_c0_g5_i1	TRINITY_DN10045_c0_g1_i15
TRINITY_DN10031_c0_g1_i1	TRINITY_DN10045_c0_g1_i16
TRINITY_DN10032_c0_g1_i9	TRINITY_DN100464_c0_g1_i8
TRINITY_DN10033_c0_g1_i3	TRINITY_DN100464_c0_g1_i9
TRINITY_DN10033_c2_g1_i1	TRINITY_DN10046_c0_g2_i2
TRINITY_DN10034_c0_g2_i1	TRINITY_DN10046_c2_g1_i1
TRINITY_DN10034_c0_g2_i5	TRINITY_DN100507_c0_g2_i3
TRINITY_DN100379_c0_g1_i1	TRINITY_DN100530_c0_g1_i4
TRINITY_DN10037_c0_g1_i1	TRINITY_DN100531_c0_g1_i1
TRINITY_DN10038_c0_g1_i5	TRINITY_DN10053_c0_g3_i1
TRINITY_DN10038_c0_g1_i7	TRINITY_DN10053_c1_g1_i1
TRINITY_DN1003_c0_g1_i4	TRINITY_DN100578_c0_g2_i1
TRINITY_DN1003_c0_g1_i5	TRINITY_DN100578_c1_g2_i1
TRINITY_DN1003_c1_g1_i1	TRINITY_DN100597_c0_g1_i2
TRINITY_DN1003_c1_g1_i3	TRINITY_DN100597_c0_g1_i4
TRINITY_DN1003_c1_g1_i8	TRINITY_DN100597_c0_g1_i6
TRINITY_DN10040_c0_g2_i1	TRINITY_DN10059_c0_g1_i3
TRINITY_DN10040_c0_g2_i10	TRINITY_DN1005_c0_g1_i1
TRINITY_DN10040_c0_g2_i4	TRINITY_DN1005_c0_g1_i4
TRINITY_DN10040_c0_g2_i5	TRINITY_DN10062_c0_g1_i1
TRINITY_DN10040_c0_g2_i8	TRINITY_DN100631_c1_g1_i1
TRINITY_DN10040_c1_g1_i1	TRINITY_DN100640_c0_g2_i1
TRINITY_DN10040_c4_g1_i1	TRINITY_DN10064_c0_g2_i1
TRINITY_DN10041_c0_g2_i6	TRINITY_DN10065_c0_g1_i1
TRINITY_DN100423_c0_g2_i1	TRINITY_DN10066_c1_g1_i2
TRINITY_DN100435_c0_g1_i1	TRINITY_DN10066_c1_g1_i3
TRINITY_DN100442_c0_g1_i1	TRINITY_DN10067_c3_g1_i1
TRINITY_DN10045_c0_g1_i1	TRINITY_DN100691_c0_g1_i1
TRINITY_DN10045_c0_g1_i17	TRINITY_DN1006_c1_g1_i3
TRINITY_DN10045_c0_g1_i2	TRINITY_DN100709_c0_g1_i2
TRINITY_DN100460_c0_g1_i1	TRINITY_DN10071_c0_g1_i4
TRINITY_DN10046_c0_g1_i3	TRINITY_DN10072_c0_g2_i2
TRINITY_DN10046_c0_g1_i4	TRINITY_DN10072_c1_g1_i1
TRINITY_DN10046_c0_g1_i5	TRINITY_DN10072_c1_g5_i1
TRINITY_DN10046_c0_g2_i5	TRINITY_DN10074_c0_g2_i2
TRINITY_DN10046_c0_g3_i1	TRINITY_DN100751_c0_g1_i1
TRINITY_DN100473_c0_g1_i1	TRINITY_DN10075_c0_g1_i1
TRINITY_DN10047_c0_g1_i1	TRINITY_DN10075_c0_g1_i14
TRINITY_DN1004_c0_g1_i1	TRINITY_DN10075_c0_g1_i17
TRINITY_DN10051_c0_g1_i1	TRINITY_DN10075_c0_g1_i18
TRINITY_DN10052_c0_g1_i6	TRINITY_DN10075_c0_g1_i20
TRINITY_DN10053_c0_g1_i4	TRINITY_DN10075_c0_g1_i23
TRINITY_DN10053_c0_g2_i1	TRINITY_DN10075_c0_g1_i3
TRINITY_DN10053_c0_g2_i2	TRINITY_DN10075_c0_g1_i34
TRINITY_DN100554_c0_g1_i1	TRINITY_DN10075_c0_g1_i9
TRINITY_DN10056_c0_g2_i1	TRINITY_DN10076_c0_g1_i3
TRINITY_DN10057_c0_g1_i3	TRINITY_DN10076_c0_g3_i1
TRINITY_DN100591_c0_g1_i1	TRINITY_DN10077_c2_g1_i1
TRINITY_DN10059_c0_g1_i2	TRINITY_DN100784_c0_g1_i1
TRINITY_DN10059_c0_g1_i5	TRINITY_DN100784_c0_g1_i2
TRINITY_DN1005_c0_g1_i2	TRINITY_DN100787_c0_g1_i1
TRINITY_DN1005_c0_g3_i2	TRINITY_DN10078_c0_g2_i3
TRINITY_DN10066_c0_g1_i4	TRINITY_DN10079_c0_g1_i8
TRINITY_DN10066_c0_g1_i5	TRINITY_DN1007_c0_g1_i3
TRINITY_DN10066_c0_g1_i6	TRINITY_DN10082_c0_g1_i2
TRINITY_DN100672_c0_g1_i1	TRINITY_DN10083_c0_g1_i1
TRINITY_DN1006_c1_g1_i5	TRINITY_DN10083_c0_g3_i5
TRINITY_DN1006_c1_g2_i1	TRINITY_DN10085_c0_g1_i1
TRINITY_DN1006_c1_g2_i3	TRINITY_DN10086_c0_g1_i4
TRINITY_DN1006_c1_g2_i5	TRINITY_DN10086_c0_g1_i8
TRINITY_DN1006_c1_g3_i1	TRINITY_DN10086_c2_g1_i2
TRINITY_DN10071_c0_g1_i5	TRINITY_DN100894_c0_g1_i1
TRINITY_DN10072_c0_g2_i3	TRINITY_DN10089_c0_g2_i5
TRINITY_DN10072_c0_g2_i4	TRINITY_DN1008_c0_g1_i1
TRINITY_DN10072_c0_g2_i7	TRINITY_DN1008_c0_g1_i2
TRINITY_DN10073_c0_g1_i1	TRINITY_DN100901_c0_g1_i1
TRINITY_DN10073_c0_g1_i2	TRINITY_DN10090_c0_g1_i2
TRINITY_DN10073_c0_g1_i3	TRINITY_DN10090_c0_g1_i5
TRINITY_DN10073_c0_g1_i5	TRINITY_DN10090_c0_g1_i9
TRINITY_DN10073_c0_g2_i1	TRINITY_DN100923_c1_g1_i2
TRINITY_DN10073_c0_g2_i2	TRINITY_DN100929_c0_g1_i6
TRINITY_DN10075_c0_g1_i10	TRINITY_DN10096_c0_g1_i1
TRINITY_DN10075_c0_g1_i12	TRINITY_DN10096_c1_g1_i2
TRINITY_DN10075_c0_g1_i15	TRINITY_DN10097_c0_g1_i9
TRINITY_DN10075_c0_g1_i22	TRINITY_DN10098_c0_g3_i1
TRINITY_DN10075_c0_g1_i33	TRINITY_DN10099_c0_g1_i1
TRINITY_DN10075_c0_g1_i36	TRINITY_DN1009_c0_g1_i10
TRINITY_DN10075_c0_g1_i5	TRINITY_DN1009_c0_g1_i19
TRINITY_DN10075_c0_g1_i7	TRINITY_DN1009_c0_g1_i5
TRINITY_DN10076_c0_g5_i1	TRINITY_DN1009_c0_g1_i6
TRINITY_DN10077_c0_g1_i2	TRINITY_DN100_c0_g1_i1
TRINITY_DN100784_c0_g1_i3	TRINITY_DN100_c0_g1_i7
TRINITY_DN100792_c0_g1_i1	TRINITY_DN100_c0_g1_i9
TRINITY_DN100798_c0_g2_i2	TRINITY_DN10101_c0_g1_i1
TRINITY_DN10079_c0_g1_i2	TRINITY_DN101025_c0_g1_i1
TRINITY_DN10079_c0_g1_i7	TRINITY_DN101044_c1_g1_i1
TRINITY_DN1007_c0_g1_i2	TRINITY_DN10105_c0_g1_i13
TRINITY_DN10080_c2_g2_i3	TRINITY_DN10105_c0_g1_i15
TRINITY_DN10080_c2_g2_i5	TRINITY_DN10105_c0_g1_i5
TRINITY_DN10080_c2_g6_i1	TRINITY_DN101075_c0_g1_i4
TRINITY_DN10082_c0_g1_i1	TRINITY_DN101075_c1_g1_i1
TRINITY_DN100840_c0_g1_i1	TRINITY_DN101080_c0_g1_i1
TRINITY_DN10086_c0_g1_i1	TRINITY_DN101091_c0_g1_i1
TRINITY_DN10086_c0_g1_i5	TRINITY_DN101094_c0_g2_i1
TRINITY_DN10086_c0_g1_i7	TRINITY_DN10109_c1_g2_i1
TRINITY_DN10086_c1_g1_i1	TRINITY_DN10109_c1_g5_i1
TRINITY_DN100870_c0_g1_i1	TRINITY_DN1010_c0_g1_i10
TRINITY_DN100885_c1_g2_i1	TRINITY_DN1010_c0_g1_i5
TRINITY_DN10089_c0_g2_i1	TRINITY_DN1010_c0_g1_i6
TRINITY_DN10090_c0_g1_i7	TRINITY_DN1010_c0_g1_i9
TRINITY_DN100929_c0_g1_i7	TRINITY_DN101106_c1_g1_i1
TRINITY_DN10093_c0_g1_i4	TRINITY_DN10112_c0_g1_i4
TRINITY_DN100961_c0_g1_i1	TRINITY_DN10114_c0_g1_i1
TRINITY_DN10098_c0_g1_i1	TRINITY_DN10114_c0_g1_i3
TRINITY_DN100991_c0_g1_i5	TRINITY_DN10114_c0_g1_i4
TRINITY_DN1009_c0_g1_i1	TRINITY_DN10114_c0_g1_i5
TRINITY_DN1009_c0_g1_i16	TRINITY_DN10116_c0_g1_i1
TRINITY_DN1009_c0_g1_i9	TRINITY_DN10116_c2_g1_i4
TRINITY_DN100_c0_g1_i5	TRINITY_DN10117_c0_g1_i1
TRINITY_DN100_c0_g1_i6	TRINITY_DN10119_c0_g7_i1
TRINITY_DN100_c0_g2_i1	TRINITY_DN1011_c0_g1_i4
TRINITY_DN10104_c0_g1_i1	TRINITY_DN1011_c0_g2_i2
TRINITY_DN10104_c0_g4_i1	TRINITY_DN101208_c0_g1_i2
TRINITY_DN10105_c0_g1_i10	TRINITY_DN10120_c0_g2_i1
TRINITY_DN10105_c0_g1_i12	TRINITY_DN10122_c0_g1_i1
TRINITY_DN10105_c0_g1_i4	TRINITY_DN10122_c0_g1_i4
TRINITY_DN10105_c0_g1_i7	TRINITY_DN10122_c2_g1_i2
TRINITY_DN10105_c0_g1_i8	TRINITY_DN10123_c0_g1_i4
TRINITY_DN101074_c0_g1_i3	TRINITY_DN101246_c0_g1_i1
TRINITY_DN101077_c0_g1_i1	TRINITY_DN10129_c0_g2_i6
TRINITY_DN10109_c1_g1_i1	TRINITY_DN10130_c0_g1_i2
TRINITY_DN10109_c1_g5_i2	TRINITY_DN101332_c0_g1_i2
TRINITY_DN1010_c0_g1_i8	TRINITY_DN10135_c0_g3_i1
TRINITY_DN1010_c0_g2_i1	TRINITY_DN101364_c1_g1_i1
TRINITY_DN1010_c16_g1_i1	TRINITY_DN101378_c0_g1_i1
TRINITY_DN1010_c2_g1_i1	TRINITY_DN10137_c0_g1_i1
