transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN10002_c0_g5_i4 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN10025_c0_g1_i12 0.01 0 0.0048069114433835 -7.70067405937815
TRINITY_DN100346_c0_g2_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN100387_c0_g2_i1 0.02 0.02 0.009613822886767 -6.70067405937815
TRINITY_DN100415_c0_g1_i2 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN100442_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN100464_c0_g1_i7 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN100497_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN10075_c0_g1_i2 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN10075_c0_g1_i24 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN100831_c0_g1_i1 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN100843_c0_g1_i1 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN100860_c0_g2_i1 0.04 0.04 0.019227645773534 -5.70067405937815
TRINITY_DN100885_c1_g2_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN10090_c0_g1_i8 0.03 0.03 0.0144207343301505 -6.11571155865699
TRINITY_DN101088_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN101203_c0_g2_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN10125_c0_g2_i4 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN10130_c0_g2_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN101332_c0_g1_i2 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN102177_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN102233_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN102254_c0_g2_i1 0.03 0.03 0.0144207343301505 -6.11571155865699
TRINITY_DN10227_c1_g1_i2 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN102295_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN102313_c0_g2_i1 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN1023_c0_g1_i3 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN1023_c0_g1_i5 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN102511_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN102_c3_g1_i21 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN103694_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN104201_c0_g2_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN10421_c1_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN104277_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN104702_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN104705_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN104719_c0_g2_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN1047_c1_g1_i9 0.01 0.01 0.0048069114433835 -7.70067405937815
TRINITY_DN10493_c0_g4_i3 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN105023_c0_g1_i1 0.03 0.03 0.0144207343301505 -6.11571155865699
TRINITY_DN10609_c0_g1_i1 0.03 0.03 0.0144207343301505 -6.11571155865699
TRINITY_DN106354_c1_g1_i2 0.03 0.03 0.0144207343301505 -6.11571155865699
TRINITY_DN10664_c0_g1_i2 0.01 0.01 0.0048069114433835 -7.70067405937815
TRINITY_DN107381_c0_g1_i1 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN107444_c0_g1_i1 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN107633_c0_g2_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN10771_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN107770_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN108068_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN108280_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN108324_c0_g1_i9 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN108457_c0_g1_i3 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN108480_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN10855_c0_g2_i2 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN10882_c0_g1_i12 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN1090_c0_g1_i10 0.02 0.01 0.009613822886767 -6.70067405937815
TRINITY_DN109249_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN10947_c0_g1_i3 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN10987_c0_g4_i6 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN109891_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN110134_c0_g2_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN110149_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN110150_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN110216_c0_g1_i1 0.02 0.01 0.009613822886767 -6.70067405937815
TRINITY_DN110347_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11043_c0_g2_i5 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11046_c0_g1_i3 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN11048_c0_g1_i20 0.02 0.01 0.009613822886767 -6.70067405937815
TRINITY_DN11048_c0_g1_i40 0.01 0.01 0.0048069114433835 -7.70067405937815
TRINITY_DN11063_c0_g1_i2 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN11096_c0_g2_i6 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN11107_c0_g1_i11 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11107_c0_g1_i3 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN111175_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11135_c0_g2_i7 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN111995_c0_g2_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN112012_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN112048_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN112058_c0_g3_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN112104_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN112131_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN112166_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN112223_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN112352_c3_g1_i1 0.02 0.02 0.009613822886767 -6.70067405937815
TRINITY_DN11255_c0_g1_i1 0.02 0.02 0.009613822886767 -6.70067405937815
TRINITY_DN112887_c0_g2_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN1130_c1_g1_i4 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11318_c2_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN113849_c0_g1_i2 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN113941_c0_g2_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN114002_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN114095_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN114399_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11443_c0_g1_i4 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN114618_c0_g1_i2 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11476_c0_g2_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN114957_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11502_c1_g1_i2 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11502_c1_g1_i3 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN115_c0_g1_i1 0.02 0.02 0.009613822886767 -6.70067405937815
TRINITY_DN115_c0_g1_i2 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11623_c0_g1_i2 0.03 0.02 0.0144207343301505 -6.11571155865699
TRINITY_DN1162_c0_g2_i12 0.01 0.01 0.0048069114433835 -7.70067405937815
TRINITY_DN11640_c0_g1_i7 0.02 0.02 0.009613822886767 -6.70067405937815
TRINITY_DN11657_c0_g2_i13 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN11659_c0_g1_i10 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN11680_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN116936_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN116989_c0_g1_i1 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN117369_c0_g1_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN1177_c0_g1_i7 0.03 0.03 0.0144207343301505 -6.11571155865699
TRINITY_DN117859_c0_g3_i1 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN11877_c0_g2_i6 0.04 0.03 0.019227645773534 -5.70067405937815
TRINITY_DN1187_c0_g1_i1 0.03 0.03 0.0144207343301505 -6.11571155865699
TRINITY_DN11927_c0_g1_i22 0.05 0.04 0.0240345572169175 -5.37874596449078
TRINITY_DN119397_c0_g1_i1 0.03 0.03 0.0144207343301505 -6.11571155865699
TRINITY_DN1200_c0_g1_i23 0.03 0.03 0.0144207343301505 -6.11571155865699
TRINITY_DN12085_c0_g1_i11 0.03 0.02 0.0144207343301505 -6.11571155865699
