transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN10002_c0_g5_i4 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN100137_c0_g2_i1 0.01 0.01 0.00480643993393406 -7.70081558012742
TRINITY_DN10025_c0_g1_i4 0.01 0.01 0.00480643993393406 -7.70081558012742
TRINITY_DN100415_c0_g1_i2 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN100423_c3_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN100497_c0_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN100693_c0_g1_i1 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN100700_c0_g1_i2 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN100707_c0_g1_i3 0.05 0.03 0.0240321996696703 -5.37888748524006
TRINITY_DN1009_c0_g1_i16 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN101075_c0_g1_i4 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN101156_c0_g1_i1 0.05 0.03 0.0240321996696703 -5.37888748524006
TRINITY_DN101203_c0_g2_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN101230_c0_g1_i1 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN101247_c0_g1_i1 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN10130_c0_g2_i1 0.05 0.03 0.0240321996696703 -5.37888748524006
TRINITY_DN10142_c0_g1_i1 0.01 0.01 0.00480643993393406 -7.70081558012742
TRINITY_DN101461_c0_g2_i1 0.04 0.02 0.0192257597357362 -5.70081558012742
TRINITY_DN101660_c0_g2_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN101785_c0_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN101938_c0_g2_i2 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN101964_c0_g1_i2 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN102105_c0_g2_i1 0.05 0.03 0.0240321996696703 -5.37888748524006
TRINITY_DN102123_c0_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN102177_c0_g1_i1 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN102254_c0_g2_i1 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN102302_c0_g3_i1 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN102520_c0_g1_i1 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN102826_c0_g1_i3 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN10307_c1_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN10307_c1_g1_i3 0.05 0.03 0.0240321996696703 -5.37888748524006
TRINITY_DN103691_c0_g1_i1 0.01 0.01 0.00480643993393406 -7.70081558012742
TRINITY_DN1037_c1_g1_i21 0.02 0.01 0.00961287986786811 -6.70081558012742
TRINITY_DN1037_c1_g1_i5 0.01 0.01 0.00480643993393406 -7.70081558012742
TRINITY_DN10404_c0_g3_i1 0.02 0.01 0.00961287986786811 -6.70081558012742
TRINITY_DN10411_c0_g1_i7 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN10411_c1_g1_i3 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN104327_c0_g1_i2 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN10463_c0_g3_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN104702_c0_g1_i1 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN10471_c0_g1_i5 0.01 0.01 0.00480643993393406 -7.70081558012742
TRINITY_DN10504_c1_g1_i7 0.05 0.03 0.0240321996696703 -5.37888748524006
TRINITY_DN105100_c0_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN105231_c0_g3_i2 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN105269_c0_g1_i1 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN105501_c0_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN10565_c1_g1_i3 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN10581_c0_g1_i2 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN10582_c0_g1_i1 0.02 0.02 0.00961287986786811 -6.70081558012742
