transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN100415_c0_g1_i2 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN100442_c0_g1_i1 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN10075_c0_g1_i19 0.01 0.01 0.00559085728416705 -7.48271476639002
TRINITY_DN10075_c0_g1_i29 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN101785_c0_g1_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN10192_c0_g1_i3 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN10193_c0_g1_i2 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN101968_c0_g2_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN10215_c0_g1_i1 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN102215_c0_g1_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN102252_c0_g2_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN10264_c0_g2_i11 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN102_c3_g1_i18 0.01 0 0.00559085728416705 -7.48271476639002
TRINITY_DN103851_c0_g1_i1 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN10386_c0_g1_i2 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN104327_c0_g1_i1 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN10463_c0_g3_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN10466_c0_g1_i6 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN10500_c2_g1_i2 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN105231_c0_g3_i2 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN105269_c0_g1_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN10565_c1_g1_i2 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN106612_c0_g1_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN10664_c0_g1_i6 0.01 0 0.00559085728416705 -7.48271476639002
TRINITY_DN106656_c0_g1_i18 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN107381_c0_g1_i1 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN10753_c0_g1_i8 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN1076_c0_g1_i1 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN107701_c0_g1_i2 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN107919_c0_g1_i1 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN107919_c0_g1_i11 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN108480_c0_g1_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
