transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN10002_c0_g5_i4 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN10025_c0_g1_i4 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN10025_c0_g1_i6 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN10028_c0_g1_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN10031_c0_g2_i2 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN100415_c0_g1_i2 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN100578_c0_g2_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN10067_c2_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10067_c3_g1_i1 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN100929_c0_g1_i5 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN100929_c0_g1_i6 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN101025_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN101094_c0_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN101203_c0_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10140_c0_g1_i7 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN101570_c0_g1_i1 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN10193_c0_g1_i2 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN102177_c0_g1_i1 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN102233_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN1023_c0_g1_i18 0.01 0 0.00562651775229735 -7.47354196906899
TRINITY_DN1023_c0_g1_i20 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN1023_c0_g1_i3 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN102585_c1_g2_i1 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN102819_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN103691_c0_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN103694_c0_g1_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN10404_c0_g3_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN104201_c0_g2_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN104459_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN104702_c0_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN104719_c0_g2_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN10471_c2_g1_i2 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN1047_c1_g1_i9 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN105023_c0_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN105287_c0_g1_i2 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10531_c0_g1_i2 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN10581_c0_g1_i3 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN10594_c0_g1_i1 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN106231_c0_g1_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN10631_c0_g1_i12 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN10631_c0_g1_i5 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10631_c0_g1_i6 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10677_c0_g1_i3 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10678_c2_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10706_c0_g2_i10 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN107167_c0_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN107363_c0_g4_i1 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN107506_c0_g2_i2 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN10753_c0_g1_i1 0.01 0 0.00562651775229735 -7.47354196906899
TRINITY_DN10753_c0_g1_i5 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN10766_c0_g1_i3 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10785_c0_g2_i1 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN107975_c0_g1_i2 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN108026_c0_g1_i7 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN108572_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN108588_c0_g2_i1 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN108695_c2_g5_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN108799_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10880_c0_g1_i13 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN10893_c0_g1_i3 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10951_c0_g2_i2 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10970_c0_g1_i12 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN10994_c2_g1_i3 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN11004_c0_g1_i6 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN110050_c0_g1_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN110233_c0_g1_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN11028_c0_g1_i3 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN110347_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11043_c0_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11066_c0_g1_i1 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN11096_c0_g2_i4 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11098_c1_g4_i1 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN111213_c0_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN11134_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11135_c0_g2_i8 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN111390_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11139_c0_g3_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN111629_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11184_c0_g1_i9 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN111885_c0_g1_i1 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN11191_c0_g2_i1 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN112141_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN112197_c0_g2_i1 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN112236_c0_g2_i1 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN11233_c0_g2_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN11318_c2_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN11351_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11351_c0_g3_i2 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11356_c0_g1_i2 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN113638_c2_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN113638_c3_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11364_c1_g2_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN113997_c0_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN1141_c0_g1_i9 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN114839_c0_g2_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN11483_c4_g1_i1 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN11491_c0_g1_i4 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN11560_c0_g1_i5 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN11568_c0_g1_i2 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN115_c0_g1_i15 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN115_c0_g1_i2 0.01 0 0.00562651775229735 -7.47354196906899
TRINITY_DN115_c0_g1_i8 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN116042_c1_g3_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11633_c0_g1_i14 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN116839_c1_g1_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN117302_c2_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN117507_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN117640_c0_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11832_c0_g1_i2 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN118648_c0_g2_i5 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11871_c0_g1_i5 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN11871_c0_g1_i9 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN11882_c0_g1_i14 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11905_c1_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN11907_c5_g1_i1 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN11927_c0_g1_i13 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN11927_c0_g1_i2 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN11951_c1_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11986_c0_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN11986_c0_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN11990_c0_g3_i8 0.01 0.01 0.00562651775229735 -7.47354196906899
TRINITY_DN11993_c0_g3_i4 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN12014_c1_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN120286_c0_g1_i2 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN120393_c0_g2_i2 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN120682_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN12085_c0_g1_i11 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN1209_c0_g1_i10 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN121038_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN121080_c0_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN121080_c0_g3_i1 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN121207_c0_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN121509_c1_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN12158_c0_g1_i11 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN121631_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN1216_c0_g1_i7 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN122168_c0_g1_i1 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN1223_c0_g1_i6 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN12250_c1_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN12264_c1_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN122941_c0_g4_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN12305_c0_g1_i7 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN123105_c3_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN123105_c3_g3_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN12310_c0_g2_i1 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN12334_c0_g1_i21 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN12348_c0_g1_i23 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN12348_c0_g1_i26 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN123595_c0_g1_i4 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN123911_c0_g1_i1 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN12396_c4_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN12408_c0_g1_i4 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN124321_c1_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN124490_c0_g1_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN12449_c0_g2_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN124857_c1_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN124988_c0_g2_i1 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN125201_c0_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN125920_c1_g1_i2 0.03 0.03 0.016879553256892 -5.88857946834784
TRINITY_DN125988_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN12628_c0_g1_i5 0.03 0.02 0.016879553256892 -5.88857946834784
TRINITY_DN12629_c0_g1_i2 0.02 0.01 0.0112530355045947 -6.47354196906899
TRINITY_DN126358_c0_g1_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN12673_c0_g2_i1 0.04 0.03 0.0225060710091894 -5.47354196906899
TRINITY_DN12688_c0_g1_i9 0.02 0.02 0.0112530355045947 -6.47354196906899
TRINITY_DN12696_c0_g1_i3 0.04 0.03 0.0225060710091894 -5.47354196906899
