transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN100016_c0_g3_i1 0.04 0.02 0.0273784024955495 -5.19081792064371
TRINITY_DN10006_c0_g2_i1 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN10006_c0_g2_i7 0.04 0.02 0.0273784024955495 -5.19081792064371
TRINITY_DN100137_c0_g2_i1 0.02 0.01 0.0136892012477748 -6.19081792064371
TRINITY_DN10020_c1_g3_i1 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN100242_c0_g2_i1 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN10025_c0_g1_i12 0.02 0.01 0.0136892012477748 -6.19081792064371
TRINITY_DN10025_c0_g1_i2 0.04 0.02 0.0273784024955495 -5.19081792064371
TRINITY_DN1003_c1_g1_i1 0.04 0.02 0.0273784024955495 -5.19081792064371
TRINITY_DN10040_c4_g1_i1 0.04 0.03 0.0273784024955495 -5.19081792064371
TRINITY_DN100442_c0_g1_i1 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN10046_c0_g3_i1 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN100578_c0_g2_i1 0.02 0.01 0.0136892012477748 -6.19081792064371
TRINITY_DN10066_c0_g1_i6 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN10067_c3_g1_i1 0.04 0.02 0.0273784024955495 -5.19081792064371
TRINITY_DN1006_c1_g2_i1 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN10073_c0_g2_i1 0.04 0.02 0.0273784024955495 -5.19081792064371
TRINITY_DN10075_c0_g1_i10 0.01 0 0.00684460062388738 -7.19081792064371
TRINITY_DN10075_c0_g1_i22 0.01 0 0.00684460062388738 -7.19081792064371
TRINITY_DN10075_c0_g1_i33 0.02 0.01 0.0136892012477748 -6.19081792064371
TRINITY_DN10080_c2_g6_i1 0.02 0.01 0.0136892012477748 -6.19081792064371
TRINITY_DN100929_c0_g1_i7 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN10093_c0_g1_i4 0.02 0.01 0.0136892012477748 -6.19081792064371
TRINITY_DN100945_c0_g2_i1 0.04 0.02 0.0273784024955495 -5.19081792064371
TRINITY_DN1009_c0_g1_i1 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN1009_c0_g1_i16 0.03 0.02 0.0205338018716621 -5.60585541992255
TRINITY_DN10122_c0_g1_i5 0.04 0.02 0.0273784024955495 -5.19081792064371
