transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN100304_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10040_c0_g2_i8 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN100435_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN100578_c0_g2_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN10067_c3_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN1006_c1_g1_i3 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN100945_c0_g2_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN1010_c0_g1_i7 0.02 0.01 0.0132039777202656 -6.24288358043135
TRINITY_DN10119_c0_g7_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10122_c0_g1_i3 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10122_c0_g1_i5 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN101305_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN1016_c0_g1_i8 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN101938_c0_g2_i2 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN102454_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN102455_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN102511_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10299_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN103259_c0_g2_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN103387_c1_g3_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN1041_c0_g1_i8 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10500_c2_g1_i7 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN105248_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10531_c0_g1_i2 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN10565_c1_g1_i2 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN1058_c9_g1_i8 0.02 0.01 0.0132039777202656 -6.24288358043135
TRINITY_DN10590_c0_g1_i9 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN105949_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN105_c0_g5_i4 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10608_c0_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN10608_c0_g1_i2 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN106231_c0_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN106354_c1_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN1065_c0_g1_i16 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN106656_c0_g1_i22 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN10722_c0_g1_i6 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10730_c1_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN107332_c0_g2_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN107381_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10753_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN10762_c0_g1_i7 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN10764_c3_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN107976_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN1080_c0_g1_i9 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN108130_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN1081_c3_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN108202_c0_g1_i2 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10837_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN108487_c0_g2_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN10855_c0_g2_i2 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN10880_c0_g1_i13 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN10970_c0_g1_i13 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN10971_c0_g1_i20 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN10971_c0_g1_i7 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN110050_c0_g1_i2 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN11011_c3_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN110233_c0_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN11045_c0_g1_i11 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN11048_c0_g1_i40 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN11107_c0_g1_i11 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN11107_c0_g1_i2 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN11114_c2_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN111309_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN11135_c0_g2_i2 0.01 0 0.00660198886013278 -7.24288358043135
TRINITY_DN111390_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN11190_c0_g1_i4 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN11191_c0_g1_i2 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN112012_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN1121_c0_g1_i8 0.03 0.02 0.0198059665803983 -5.65792107971019
