transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN10025_c0_g1_i12 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN10025_c0_g1_i4 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN100336_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN10033_c2_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN100442_c0_g1_i1 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN10066_c0_g1_i6 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN10075_c0_g1_i12 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN10075_c0_g1_i30 0.02 0.01 0.0114763512700399 -6.44519215763351
TRINITY_DN100843_c0_g1_i1 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN100885_c1_g2_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN100945_c0_g2_i1 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN101156_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN101203_c0_g2_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10120_c0_g4_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN101247_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN101408_c0_g1_i2 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN101784_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10198_c0_g1_i5 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN10208_c0_g2_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN102177_c0_g1_i1 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN1023_c0_g1_i13 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN1023_c0_g1_i23 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN1023_c0_g1_i5 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN10264_c0_g2_i7 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN1027_c0_g1_i10 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN102819_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10282_c2_g1_i1 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN10292_c2_g1_i2 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN103340_c0_g4_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN103387_c1_g3_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN103683_c0_g1_i1 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN103691_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN103694_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN103867_c0_g1_i1 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN10386_c0_g1_i2 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN104465_c0_g1_i3 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10497_c0_g3_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10500_c2_g1_i2 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN105100_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN105206_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN105231_c0_g3_i2 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN105486_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN10581_c0_g1_i6 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10608_c0_g1_i4 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN106231_c0_g1_i1 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN10631_c0_g1_i2 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN106354_c1_g1_i1 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN106530_c0_g1_i4 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN106941_c0_g1_i15 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10697_c0_g1_i2 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN107063_c0_g2_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN107381_c0_g1_i1 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN10753_c0_g1_i5 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN107581_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10765_c1_g1_i5 0.02 0.01 0.0114763512700399 -6.44519215763351
TRINITY_DN107664_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN107701_c0_g1_i2 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN10785_c0_g2_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN107893_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN107919_c0_g1_i9 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN107926_c0_g2_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN107945_c0_g2_i1 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN107975_c0_g1_i2 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN108110_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN108799_c0_g1_i1 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN10880_c0_g1_i10 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN1090_c0_g1_i12 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN10911_c0_g2_i3 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN109204_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN10971_c0_g1_i16 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN10986_c0_g4_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN10987_c0_g3_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10987_c0_g4_i5 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN10987_c0_g4_i6 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN110233_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN110347_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN11041_c0_g1_i4 0.05 0.04 0.0286908781750999 -5.12326406274615
