C0-III	C1-III	C2-II
TRINITY_DN10000_c0_g1_i12	TRINITY_DN0_c1_g2_i1	TRINITY_DN10001_c3_g2_i3
TRINITY_DN100016_c0_g2_i1	TRINITY_DN10000_c0_g2_i1	TRINITY_DN10003_c0_g1_i6
TRINITY_DN10001_c2_g1_i1	TRINITY_DN10003_c0_g1_i8	TRINITY_DN10006_c0_g1_i3
TRINITY_DN10006_c0_g2_i1	TRINITY_DN10006_c0_g1_i2	TRINITY_DN1001_c2_g1_i5
TRINITY_DN100098_c0_g1_i2	TRINITY_DN1000_c0_g1_i3	TRINITY_DN1001_c3_g1_i1
TRINITY_DN1000_c0_g1_i6	TRINITY_DN1001_c1_g1_i3	TRINITY_DN10021_c0_g1_i2
TRINITY_DN100113_c0_g1_i1	TRINITY_DN1001_c1_g1_i5	TRINITY_DN10025_c0_g2_i2
TRINITY_DN100132_c0_g1_i1	TRINITY_DN10025_c0_g2_i1	TRINITY_DN10026_c0_g1_i3
TRINITY_DN10013_c0_g2_i1	TRINITY_DN10028_c0_g1_i1	TRINITY_DN10026_c0_g1_i5
TRINITY_DN10018_c0_g1_i2	TRINITY_DN10030_c0_g1_i1	TRINITY_DN1002_c0_g2_i2
TRINITY_DN1001_c1_g1_i10	TRINITY_DN10032_c0_g1_i9	TRINITY_DN1002_c0_g2_i4
TRINITY_DN1001_c1_g1_i14	TRINITY_DN100365_c0_g1_i5	TRINITY_DN1002_c0_g2_i9
TRINITY_DN1001_c2_g1_i8	TRINITY_DN10040_c0_g2_i1	TRINITY_DN100304_c0_g1_i1
TRINITY_DN1001_c2_g1_i9	TRINITY_DN100414_c0_g3_i5	TRINITY_DN10035_c0_g1_i12
TRINITY_DN100205_c0_g1_i1	TRINITY_DN100596_c0_g1_i1	TRINITY_DN100379_c0_g1_i1
TRINITY_DN10021_c0_g2_i1	TRINITY_DN1005_c0_g1_i4	TRINITY_DN1003_c0_g1_i5
TRINITY_DN100242_c0_g2_i1	TRINITY_DN10066_c1_g1_i2	TRINITY_DN10044_c0_g2_i7
TRINITY_DN10025_c0_g1_i2	TRINITY_DN10066_c1_g1_i3	TRINITY_DN10046_c0_g2_i1
TRINITY_DN10025_c0_g1_i8	TRINITY_DN100693_c0_g1_i1	TRINITY_DN10059_c0_g1_i3
TRINITY_DN10025_c1_g1_i1	TRINITY_DN10075_c0_g1_i3	TRINITY_DN10066_c0_g1_i4
TRINITY_DN10026_c1_g1_i1	TRINITY_DN10076_c0_g1_i3	TRINITY_DN1006_c1_g1_i3
TRINITY_DN1002_c1_g1_i1	TRINITY_DN10076_c0_g3_i1	TRINITY_DN1006_c1_g2_i3
TRINITY_DN10031_c0_g1_i1	TRINITY_DN100784_c0_g1_i1	TRINITY_DN10072_c1_g5_i1
TRINITY_DN10034_c0_g2_i1	TRINITY_DN10096_c1_g1_i2	TRINITY_DN10075_c0_g1_i14
TRINITY_DN10038_c0_g1_i7	TRINITY_DN1009_c0_g1_i19	TRINITY_DN100792_c0_g1_i1
TRINITY_DN10040_c1_g1_i1	TRINITY_DN100_c0_g1_i4	TRINITY_DN10079_c0_g1_i7
TRINITY_DN10041_c0_g2_i1	TRINITY_DN10105_c0_g1_i14	TRINITY_DN10080_c2_g2_i5
TRINITY_DN100423_c0_g2_i1	TRINITY_DN10114_c0_g1_i1	TRINITY_DN10082_c0_g1_i2
TRINITY_DN10046_c0_g1_i3	TRINITY_DN10114_c0_g1_i3	TRINITY_DN10085_c0_g1_i1
TRINITY_DN10046_c0_g1_i5	TRINITY_DN10114_c0_g2_i1	TRINITY_DN10086_c1_g1_i1
