C0-I	C1-I
TRINITY_DN10002_c0_g5_i2	TRINITY_DN10000_c0_g1_i12
TRINITY_DN10006_c0_g1_i5	TRINITY_DN10006_c0_g1_i4
TRINITY_DN10017_c0_g2_i2	TRINITY_DN10018_c0_g1_i2
TRINITY_DN1001_c3_g1_i1	TRINITY_DN100205_c0_g1_i1
TRINITY_DN10021_c0_g1_i2	TRINITY_DN10025_c0_g1_i8
TRINITY_DN10025_c0_g2_i1	TRINITY_DN1002_c1_g1_i1
TRINITY_DN10026_c0_g1_i7	TRINITY_DN10040_c1_g1_i1
TRINITY_DN10026_c0_g1_i9	TRINITY_DN100423_c0_g2_i1
TRINITY_DN1002_c0_g1_i1	TRINITY_DN10046_c0_g1_i5
TRINITY_DN1003_c0_g1_i4	TRINITY_DN10046_c0_g3_i1
TRINITY_DN1003_c0_g1_i5	TRINITY_DN10053_c0_g2_i2
TRINITY_DN10040_c0_g2_i10	TRINITY_DN10053_c0_g3_i1
TRINITY_DN10040_c0_g2_i4	TRINITY_DN100591_c0_g1_i1
TRINITY_DN10066_c0_g1_i4	TRINITY_DN1006_c1_g1_i5
TRINITY_DN10066_c0_g1_i5	TRINITY_DN1006_c1_g2_i1
TRINITY_DN10066_c0_g1_i9	TRINITY_DN1006_c1_g2_i5
TRINITY_DN1006_c1_g1_i3	TRINITY_DN10073_c0_g2_i1
TRINITY_DN1006_c1_g3_i1	TRINITY_DN10075_c0_g1_i10
TRINITY_DN10075_c0_g1_i14	TRINITY_DN10075_c0_g1_i22
TRINITY_DN10075_c0_g1_i5	TRINITY_DN10075_c0_g1_i33
TRINITY_DN10079_c0_g1_i7	TRINITY_DN10080_c2_g6_i1
TRINITY_DN10082_c0_g1_i1	TRINITY_DN10093_c0_g1_i4
TRINITY_DN10098_c0_g1_i1	TRINITY_DN1009_c0_g1_i1
TRINITY_DN100_c0_g1_i5	TRINITY_DN100_c0_g1_i6
TRINITY_DN101011_c0_g1_i1	TRINITY_DN1010_c2_g1_i1
TRINITY_DN10105_c0_g1_i4	TRINITY_DN1010_c5_g2_i1
TRINITY_DN10114_c0_g1_i1	TRINITY_DN10119_c0_g2_i1
TRINITY_DN10114_c0_g1_i2	TRINITY_DN1011_c0_g1_i8
TRINITY_DN10119_c0_g7_i2	TRINITY_DN10120_c0_g1_i4
TRINITY_DN1011_c0_g2_i3	TRINITY_DN10129_c0_g3_i1
TRINITY_DN10131_c0_g2_i1	TRINITY_DN1013_c0_g2_i1
TRINITY_DN1013_c0_g2_i10	TRINITY_DN101408_c0_g1_i1
TRINITY_DN10147_c0_g1_i5	TRINITY_DN101438_c0_g1_i1
TRINITY_DN10149_c0_g2_i2	TRINITY_DN10146_c0_g2_i4
TRINITY_DN1014_c0_g1_i1	TRINITY_DN101580_c0_g2_i1
TRINITY_DN1014_c0_g1_i2	TRINITY_DN10165_c0_g1_i1
TRINITY_DN1015_c0_g2_i1	TRINITY_DN10166_c0_g2_i2
TRINITY_DN10167_c0_g2_i1	TRINITY_DN10173_c0_g1_i6
TRINITY_DN1016_c0_g1_i5	TRINITY_DN1017_c0_g1_i4
TRINITY_DN10172_c0_g1_i8	TRINITY_DN10185_c3_g1_i8
TRINITY_DN10185_c3_g2_i2	TRINITY_DN1018_c1_g1_i4
TRINITY_DN10185_c3_g2_i4	TRINITY_DN101938_c0_g2_i1
TRINITY_DN10192_c2_g2_i1	TRINITY_DN101_c0_g1_i15
