transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN10023_c0_g1_i2 93.48 54.92 63.9833266320993 5.99962409813912
TRINITY_DN10040_c0_g2_i4 96.76 56.85 66.2283556367343 6.04937713333622
TRINITY_DN10051_c0_g1_i1 63.68 37.42 43.5864167729149 5.44580669989994
TRINITY_DN100531_c0_g1_i1 11174.61 6565.58 7648.57425776982 12.9009751301218
TRINITY_DN100567_c1_g1_i1 151.04 88.74 103.380847823195 6.69182512871813
TRINITY_DN100597_c0_g1_i2 221.73 130.28 151.765329633455 7.24569843850723
TRINITY_DN1008_c0_g1_i2 59.59 35.01 40.7869751177449 5.35003661146993
TRINITY_DN10131_c0_g2_i1 158.47 93.11 108.466386086743 6.7611042081176
TRINITY_DN10132_c0_g1_i1 62.41 36.67 42.7171524936812 5.4167435757105
TRINITY_DN10192_c0_g1_i5 69.46 40.81 47.5425959335218 5.57114877473838
TRINITY_DN102691_c0_g1_i4 59.5 34.96 40.7253737121299 5.34785603243896
TRINITY_DN1026_c0_g1_i5 66.35 38.98 45.4139251394928 5.50506282961385
TRINITY_DN102_c2_g1_i2 121.38 71.31 83.0797623727451 6.37642518463573
TRINITY_DN103226_c0_g1_i1 73617.35 43253.43 50388.1359738936 15.6207964667172
TRINITY_DN10365_c0_g1_i1 641.51 376.92 439.087974623 8.7783662134459
TRINITY_DN10365_c0_g2_i1 74.18 43.58 50.7732474279966 5.6659966318593
TRINITY_DN1039_c1_g3_i1 59.19 34.78 40.5131910927894 5.34031982080101
TRINITY_DN10406_c1_g1_i4 91.23 53.6 62.4432914917246 5.96447468110825
TRINITY_DN1041_c0_g1_i3 122.96 72.24 84.1612092713193 6.39508352904706
TRINITY_DN1041_c0_g1_i9 147.31 86.55 100.827811790485 6.65574982859191
TRINITY_DN10457_c0_g1_i2 71.96 42.28 49.2537460894936 5.62216155060778
TRINITY_DN104991_c1_g1_i1 58414.63 34321.17 39982.4812942151 15.2870803873943
TRINITY_DN10526_c0_g1_i7 130.39 76.61 89.2467475348676 6.47972768810957
TRINITY_DN105349_c0_g1_i1 889.39 522.55 608.75193488792 9.24971064251183
TRINITY_DN10563_c0_g5_i1 82.33 48.37 56.3515969364648 5.81638459010604
TRINITY_DN10593_c0_g1_i3 125.83 73.93 86.1256096503749 6.42837038502893
TRINITY_DN1064_c0_g1_i1 57.31 33.67 39.2264061754986 5.2937532602721
TRINITY_DN1070_c0_g1_i2 4615.33 2711.71 3159.00905974462 11.6252563592682
TRINITY_DN1070_c0_g1_i3 180.46 106.03 123.517662858672 6.94857354977555
TRINITY_DN1070_c0_g1_i8 54.23 31.87 37.1182691833413 5.2140575343715
TRINITY_DN1070_c1_g1_i10 135.35 79.53 92.6416694443157 6.53358934645862
TRINITY_DN1070_c1_g1_i15 919.45 540.22 629.326804363326 9.29766558143489
TRINITY_DN107148_c0_g1_i1 224.13 131.69 153.408033783188 7.26123022669429
TRINITY_DN107154_c0_g1_i1 166.4 97.77 113.894154381486 6.83154989238475
TRINITY_DN10910_c0_g1_i1 600.87 353.04 411.271517687521 8.68394735226751
TRINITY_DN10914_c0_g1_i3 65.11 38.25 44.5651946621308 5.47784550253159
TRINITY_DN10935_c0_g1_i6 299.44 175.93 204.954721081684 7.67916141225625
TRINITY_DN1099_c0_g1_i7 245.84 144.44 168.267661737647 7.39461413094926
TRINITY_DN1099_c2_g1_i6 85.14 50.03 58.2749297117772 5.864803454138
TRINITY_DN10_c1_g1_i1 85.89 50.46 58.7882747585687 5.8774565350768
TRINITY_DN10_c2_g2_i1 493.51 289.96 337.787885389466 8.39997377723329
TRINITY_DN10_c2_g2_i2 426.18 250.4 291.703189388833 8.18835735006052
TRINITY_DN10_c2_g3_i3 161.3 94.77 110.403408063304 6.7866408973993
TRINITY_DN1106_c0_g1_i12 60.72 35.68 41.5604149882442 5.37713815477176
TRINITY_DN1106_c0_g1_i7 266.91 156.82 182.689235252178 7.51324781714001
TRINITY_DN1106_c0_g1_i8 113.07 66.43 77.3918992542946 6.27411065974181
TRINITY_DN1107_c5_g1_i4 63.85 37.52 43.7027749835209 5.44965298394638
TRINITY_DN11103_c1_g1_i1 62.54 36.74 42.8061323017917 5.41974558328133
TRINITY_DN11110_c0_g4_i1 287.33 168.82 196.665909726156 7.61960309080048
TRINITY_DN11147_c0_g2_i1 55.71 32.73 38.1312700756766 5.25290268001287
TRINITY_DN11256_c0_g3_i2 125.35 73.65 85.7970688204284 6.42285645507759
TRINITY_DN1128_c6_g1_i2 62.58 36.77 42.8335107042872 5.42066802259721
TRINITY_DN11290_c0_g1_i1 57.12 33.56 39.0963587636447 5.28896234338539
TRINITY_DN11322_c0_g1_i2 202.25 118.83 138.432047618122 7.113034161561
TRINITY_DN1137_c0_g1_i1 205.98 121.02 140.985083650832 7.13939872203471
TRINITY_DN11407_c0_g1_i14 343.15 201.61 234.872470408696 7.87573381358724
TRINITY_DN11428_c0_g1_i2 150.46 88.4 102.98386098701 6.68627445438371
TRINITY_DN11441_c0_g1_i2 392.97 230.88 268.972270716903 8.07131363779356
TRINITY_DN11441_c0_g1_i8 186.93 109.83 127.946119462327 6.99939258164325
